;Реестр оценки эффективности деятельности   государственных учреждений Свердловской области, подведомственных Министерству общего и профессионального образования Свердловской области, в  2018 году;;;;
;;;;;
;;;;;
Код ПБС;Наименование ПБС;Баллы;Максимальное количество баллов; Итоговый балл ;Уровень эффективности
012112;Государственное автономное профессиональное образовательное учреждение Свердловской области «Серовский техникум сферы обслуживания и питания»;77,00;100,00; 77,0   ;Среднеэффективное
012113;Государственное автономное профессиональное образовательное учреждение Свердловской области «Слободотуринский аграрно-экономический техникум» ;78,00;100,00; 78,0   ;Среднеэффективное
012114;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Свердловский областной музыкально-эстетический педагогический колледж»;73,00;100,00; 73,0   ;Среднеэффективное
012116;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Сысертский социально-экономический техникум «Родник»;86,00;100,00; 86,0   ;Среднеэффективное
012117;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Социально-профессиональный техникум «Строитель»;69,00;100,00; 69,0   ;Среднеэффективное
012118;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Сухоложский многопрофильный техникум»;89,00;100,00; 89,0   ;Среднеэффективное
012119;Государственное автономное профессиональное образовательное учреждение Свердловской области «Тавдинский техникум им. А.А. Елохина»;84,00;100,00; 84,0   ;Среднеэффективное
012121;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Талицкий лесотехнический колледж имени Н.И. Кузнецова»;85,00;100,00; 85,0   ;Среднеэффективное
012122;Государственное автономное профессиональное образовательное учреждение Свердловской области «Техникум индустрии питания и услуг «Кулинар»;90,00;100,00; 90,0   ;Высокоэффективное
012123;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Тугулымский многопрофильный техникум»;76,00;100,00; 76,0   ;Среднеэффективное
012124;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Туринский многопрофильный техникум»;80,00;100,00; 80,0   ;Среднеэффективное
012125;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Уральский государственный колледж имени И.И. Ползунова»;95,00;100,00; 95,0   ;Высокоэффективное
012126;Государственное автономное профессиональное образовательное учреждение Свердловской области «Уральский железнодорожный техникум»;89,00;100,00; 89,0   ;Среднеэффективное
012127;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Уральский колледж бизнеса, управления и технологии красоты»;85,00;100,00; 85,0   ;Среднеэффективное
012128;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Уральский горнозаводской колледж имени Демидовых»;86,00;100,00; 86,0   ;Среднеэффективное
012129;Государственное автономное профессиональное образовательное учреждение Свердловской области «Уральский колледж строительства, архитектуры и предпринимательства»;95,00;100,00; 95,0   ;Высокоэффективное
012130;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Уральский техникум «Рифей»;82,00;100,00; 82,0   ;Среднеэффективное
012131;Государственное автономное профессиональное образовательное учреждение Свердловской области «Уральский колледж технологий и предпринимательства» ;90,00;100,00; 90,0   ;Высокоэффективное
012132;Государственное автономное профессиональное образовательное учреждение Свердловской области «Уральский радиотехнический колледж им. А.С. Попова»;92,00;100,00; 92,0   ;Высокоэффективное
012133;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Уральский техникум автомобильного транспорта и сервиса»;86,00;100,00; 86,0   ;Среднеэффективное
012134;Государственное автономное профессиональное образовательное учреждение Свердловской области «Уральский политехнический колледж – Межрегиональный центр компетенций»;93,00;100,00; 93,0   ;Высокоэффективное
012137;Государственное бюджетное общеобразовательное учреждение Свердловской области, реализующее адаптированные основные общеобразовательные программы, «Центр «Дар»;91,00;100,00; 91,0   ;Высокоэффективное
012138;Государственное бюджетное учреждение Свердловской области «Центр психолого-педагогической, медицинской и социальной помощи «Ладо»;84,00;100,00; 84,0   ;Среднеэффективное
012142;Государственное автономное нетиповое образовательное учреждение Свердловской области «Дворец молодежи»;95,00;100,00; 95,0   ;Высокоэффективное
012146;Государственное автономное профессиональное образовательное учреждение Свердловской области «Ирбитский мотоциклетный техникум»;93,00;100,00; 93,0   ;Высокоэффективное
012147;Государственное автономное профессиональное образовательное учреждение Свердловской области «Ирбитский политехникум»;89,00;100,00; 89,0   ;Среднеэффективное
012149;Государственное автономное профессиональное образовательное учреждение Свердловской области «Режевской политехникум»;79,00;100,00; 79,0   ;Среднеэффективное
012151;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Екатеринбургский техникум отраслевых технологий и сервиса»;90,00;100,00; 90,0   ;Высокоэффективное
012152;Государственное казенное общеобразовательное учреждение Свердловской области «Верхнетагильский детский дом-школа» ;59,00;73,00; 80,8   ;Среднеэффективное
012153;Государственное казенное учреждение Свердловской области «Ирбитский центр психолого-педагогической, медицинской и социальной помощи»;52,00;68,00; 76,5   ;Среднеэффективное
012154;Государственное казенное общеобразовательное учреждение Свердловской области «Корзуновский детский дом-школа» ;41,00;73,00; 56,2   ;Низкоэффективное
012155;Государственное казенное образовательное учреждение Свердловской области «Нижнетагильский детский дом-школа» ;36,00;73,00; 49,3   ;Низкоэффективное
012157;Государственное казенное общеобразовательное учреждение Свердловской области «Сысертская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;57,00;73,00; 78,1   ;Среднеэффективное
