Рейтинг эффективности деятельности государственных учреждений Свердловской области, подведомственных Министерству образования и молодежной политики Свердловской области, за 2020 год;;;;;;
;;;;;;
Номер строки;Код ПБС;Наименование ПБС;Баллы;Максимальное количество баллов;Итоговый балл;Уровень эффективности
85.;012190;Государственное бюджетное общеобразовательное учреждение Свердловской области «Колчеданская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;136,00;160,00;85,00;Эффективное
86.;012167;Государственное бюджетное общеобразовательное учреждение Свердловской области «Байкаловская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;136,00;160,00;85,00;Эффективное
87.;012240;"Государственное казенное общеобразовательное учреждение Свердловской области ""Екатеринбургская вечерняя школа № 1""";106,00;125,00;84,80;Эффективное
88.;012264;Государственное автономное учреждение Свердловской области «Дом молодежи»;116,00;137,00;84,67;Эффективное
89.;012104;Государственное автономное учреждение Свердловской области «Санаторий-профилакторий «Юбилейный»;116,00;137,00;84,67;Эффективное
90.;012138;Государственное бюджетное учреждение Свердловской области «Центр психолого-педагогической, медицинской и социальной помощи «Ладо»;132,00;156,00;84,62;Эффективное
91.;012084;Государственное автономное профессиональное образовательное учреждение Свердловской области «Нижнетагильский строительный колледж»;135,00;160,00;84,38;Эффективное
92.;012174;Государственное бюджетное общеобразовательное учреждение Свердловской области «Екатеринбургская школа № 1, реализующая адаптированные основные общеобразовательные программы» ;135,00;160,00;84,38;Эффективное
93.;012087;Государственное автономное профессиональное образовательное учреждение Свердловской области «Нижнетагильский техникум  металлообрабатывающих производств и сервиса»;135,00;160,00;84,38;Эффективное
94.;012173;Государственное бюджетное общеобразовательное учреждение Свердловской области «Екатеринбургская школа № 5, реализующая адаптированные основные общеобразовательные программы»;138,00;164,00;84,15;Эффективное
95.;012202;"Государственное бюджетное общеобразовательное учреждение Свердловской области ""Новолялинская школа, реализующая адаптированные основные общеобразовательные программы""";134,00;160,00;83,75;Эффективное
96.;012060;Государственное автономное профессиональное образовательное учреждение Свердловской области «Красноуфимский многопрофильный техникум» ;134,00;160,00;83,75;Эффективное
97.;012181;Государственное бюджетное общеобразовательное учреждение Свердловской области «Екатеринбургская школа-интернат № 10, реализующая адаптированные основные общеобразовательные программы»;134,00;160,00;83,75;Эффективное
98.;012110;Государственное автономное профессиональное образовательное учреждение Свердловской области «Серовский политехнический техникум»;137,00;164,00;83,54;Эффективное
99.;012140;Государственное бюджетное  учреждение Свердловской области «Детский оздоровительный центр «Юность Урала»;120,00;144,00;83,33;Эффективное
100.;012178;Государственное бюджетное общеобразовательное учреждение Свердловской области «Екатеринбургская школа № 7, реализующая адаптированные основные общеобразовательные программы»;133,00;160,00;83,13;Эффективное
101.;012179;Государственное бюджетное общеобразовательное учреждение Свердловской области «Екатеринбургская школа № 2, реализующая адаптированные основные общеобразовательные программы»;133,00;160,00;83,13;Эффективное
102.;012207;Государственное бюджетное общеобразовательное учреждение Свердловской области «Нижнетагильская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;136,00;164,00;82,93;Эффективное
103.;012194;Государственное бюджетное общеобразовательное учреждение Свердловской области «Качканарская школа, реализующая адаптированные основные общеобразовательные программы»;132,00;160,00;82,50;Эффективное
104.;012196;Государственное бюджетное общеобразовательное учреждение Свердловской области «Красноуральская школа, реализующая адаптированные основные общеобразовательные программы»;132,00;160,00;82,50;Эффективное
105.;012020;Государственное бюджетное общеобразовательное учреждение Свердловской области «Средняя общеобразовательная школа №3»;135,00;164,00;82,32;Эффективное
106.;012166;Государственное бюджетное общеобразовательное учреждение Свердловской области «Березовская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;131,00;160,00;81,88;Эффективное
107.;012165;Государственное бюджетное общеобразовательное учреждение Свердловской области «Березовская школа, реализующая адаптированные основные общеобразовательные программы»;131,00;160,00;81,88;Эффективное
108.;012169;Государственное бюджетное общеобразовательное учреждение Свердловской области «Верхнесинячихинская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;131,00;160,00;81,88;Эффективное
109.;012026;Государственное автономное профессиональное образовательное учреждение Свердловской области «Верхнетуринский механический техникум»;131,00;160,00;81,88;Эффективное
110.;012036;"Государственное автономное профессиональное образовательное учреждение Свердловской области ""Екатеринбургский техникум ""Автоматика""";131,00;160,00;81,88;Эффективное
111.;012137;Государственное бюджетное общеобразовательное учреждение Свердловской области, реализующее адаптированные основные общеобразовательные программы, «Центр «Дар»;131,00;160,00;81,88;Эффективное
112.;012235;Государственное казенное общеобразовательное учреждение Свердловской области «Серовский детский дом-школа»;112,00;137,00;81,75;Эффективное
113.;012105;Государственное бюджетное общеобразовательное учреждение Свердловской области кадетская школа-интернат «Свердловский кадетский корпус имени капитана 1 ранга М.В. Банных»;134,00;164,00;81,71;Эффективное
114.;012136;Государственное казенное учреждение Свердловской области «Хозяйственно-эксплуатационное управление Министерства общего и профессионального образования Свердловской области»;98,00;120,00;81,67;Эффективное
115.;012118;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Сухоложский многопрофильный техникум»;130,00;160,00;81,25;Эффективное
116.;012199;Государственное бюджетное общеобразовательное учреждение Свердловской области «Школа № 1 города Лесного, реализующая адаптированные основные общеобразовательные программы»;130,00;160,00;81,25;Эффективное
117.;012124;Государственное автономное профессиональное образовательное учреждение Свердловской области «Туринский многопрофильный техникум»;130,00;160,00;81,25;Эффективное
118.;012130;Государственное автономное профессиональное образовательное учреждение Свердловской области «Уральский техникум «Рифей»;129,00;160,00;80,63;Эффективное
119.;012164;Государственное бюджетное общеобразовательное учреждение Свердловской области «Богдановичская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;129,00;160,00;80,63;Эффективное
120.;012066;Государственное автономное профессиональное образовательное учреждение Свердловской области «Каменск-Уральский педагогический колледж»;129,00;160,00;80,63;Эффективное
121.;012185;Государственное бюджетное общеобразовательное учреждение Свердловской области «Екатеринбургская школа-интернат № 12, реализующая адаптированные основные общеобразовательные программы»;129,00;160,00;80,63;Эффективное
122.;012154;Государственное бюджетное общеобразовательное учреждение Свердловской области «Корзуновский детский дом-школа» ;132,00;164,00;80,49;Эффективное
123.;012147;Государственное автономное профессиональное образовательное учреждение Свердловской области «Ирбитский политехникум»;128,00;160,00;80,00;Эффективное
124.;012189;Государственное бюджетное общеобразовательное учреждение Свердловской области «Кировградская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;128,00;160,00;80,00;Эффективное
125.;012206;Государственное бюджетное общеобразовательное учреждение Свердловской области «Нижнетагильская школа-интернат № 2, реализующая адаптированные основные общеобразовательные программы»;128,00;160,00;80,00;Эффективное
126.;012159;Государственное бюджетное общеобразовательное учреждение Свердловской области «Филатовская школа-интернат, реализующая адаптированные основные общеобразовательные программы» ;127,00;160,00;79,38;Среднеэффективное
127.;012183;Государственное бюджетное общеобразовательное учреждение Свердловской области «Екатеринбургская школа-интернат №13, реализующая адаптированные основные общеобразовательные программы»;127,00;160,00;79,38;Среднеэффективное
128.;012149;Государственное автономное профессиональное образовательное учреждение Свердловской области «Режевской политехникум»;127,00;160,00;79,38;Среднеэффективное
129.;012195;Государственное бюджетное общеобразовательное учреждение Свердловской области «Краснотурьинская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;127,00;160,00;79,38;Среднеэффективное
130.;012117;Государственное автономное профессиональное образовательное учреждение Свердловской области «Социально-профессиональный техникум «Строитель»;126,00;160,00;78,75;Среднеэффективное
131.;012046;Государственное автономное профессиональное образовательное учреждение Свердловской области «Ирбитский аграрный техникум»;126,00;160,00;78,75;Среднеэффективное
132.;012014;Государственное автономное профессиональное образовательное учреждение Свердловской области «Белоярский многопрофильный техникум»;126,00;160,00;78,75;Среднеэффективное
133.;012095;Государственное автономное профессиональное образовательное учреждение Свердловской области  «Полевской многопрофильный техникум им. В.И. Назарова»;126,00;160,00;78,75;Среднеэффективное
134.;012217;Государственное бюджетное общеобразовательное учреждение Свердловской области «Харловская школа-интернат, реализующая адаптированные основные общеобразовательные программы»;125,00;160,00;78,13;Среднеэффективное
135.;012004;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Алапаевский индустриальный техникум»;125,00;160,00;78,13;Среднеэффективное
136.;012223;Государственное казенное общеобразовательное учреждение Свердловской области «Верхотурская вечерняя школа»;97,00;125,00;77,60;Среднеэффективное
137.;012126;Государственное автономное профессиональное образовательное учреждение Свердловской области «Уральский железнодорожный техникум»;124,00;160,00;77,50;Среднеэффективное
138.;012112;Государственное автономное профессиональное образовательное учреждение Свердловской области «Серовский техникум сферы обслуживания и питания»;124,00;160,00;77,50;Среднеэффективное
139.;012015;Государственное автономное профессиональное образовательное учреждение Свердловской области «Берёзовский техникум «Профи» ;124,00;160,00;77,50;Среднеэффективное
140.;012008;Государственное автономное профессиональное образовательное учреждение Свердловской области «Артемовский колледж точного приборостроения» ;123,00;160,00;76,88;Среднеэффективное
141.;012111;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Серовский металлургический техникум»;123,00;160,00;76,88;Среднеэффективное
142.;012005;Государственное автономное профессиональное образовательное учреждение Свердловской области «Алапаевский многопрофильный техникум»;123,00;160,00;76,88;Среднеэффективное
143.;012214;Государственное бюджетное общеобразовательное учреждение Свердловской области «Сухоложская школа, реализующая адаптированные основные общеобразовательные программы»;122,00;160,00;76,25;Среднеэффективное
